Ticket,Issue,Priority,Status,Sentiment
TKT-000530,Export failure,Medium,Pending,Neutral
TKT-000531,Dashboard access,High,Open,Negative
TKT-000532,Dashboard access,Critical,Closed,Positive
TKT-000533,Integration timeout,Medium,Closed,Neutral
TKT-000534,Incorrect revenue mapping,Medium,Closed,Positive
TKT-000535,Export failure,Medium,Pending,Negative
TKT-000536,Dashboard access,Low,Pending,Positive
TKT-000537,Incorrect revenue mapping,High,Open,Negative
TKT-000538,Inventory mismatch,High,Closed,Neutral
TKT-000539,Incorrect revenue mapping,Critical,Open,Negative
TKT-000540,Delayed data refresh,Low,Open,Positive
TKT-000541,User provisioning,Medium,Pending,Neutral
TKT-000542,Delayed data refresh,Low,Closed,Positive
TKT-000543,Forecast variance,Medium,Resolved,Neutral
TKT-000544,Dashboard access,High,Open,Negative
TKT-000545,Export failure,Low,Open,Negative
TKT-000546,User provisioning,Low,Pending,Positive
TKT-000547,Incorrect revenue mapping,High,Open,Negative
TKT-000548,Dashboard access,Medium,Pending,Neutral
TKT-000549,Incorrect revenue mapping,Low,Open,Negative
TKT-000550,Incorrect revenue mapping,Low,Pending,Neutral
TKT-000551,Inventory mismatch,High,Open,Neutral
TKT-000552,Dashboard access,High,Open,Negative
TKT-000553,Integration timeout,Medium,Closed,Positive
TKT-000554,Dashboard access,Medium,Pending,Negative
TKT-000555,Integration timeout,Medium,Pending,Negative
TKT-000556,Inventory mismatch,Medium,Pending,Negative
TKT-000557,Incorrect revenue mapping,Medium,Open,Negative
TKT-000558,Incorrect revenue mapping,Critical,Closed,Positive
TKT-000559,Dashboard access,Medium,Pending,Negative
TKT-000560,Delayed data refresh,Critical,Closed,Positive
TKT-000561,Incorrect revenue mapping,High,Open,Neutral
TKT-000562,User provisioning,Medium,Closed,Positive
TKT-000563,Incorrect revenue mapping,High,Open,Positive
TKT-000564,User provisioning,Critical,Pending,Negative
TKT-000565,Inventory mismatch,Medium,Closed,Positive
TKT-000566,User provisioning,Low,Resolved,Neutral
TKT-000567,User provisioning,High,Open,Neutral
TKT-000568,Export failure,Medium,Closed,Positive
TKT-000569,Export failure,Medium,Closed,Positive
TKT-000570,Export failure,Medium,Resolved,Positive
TKT-000571,Inventory mismatch,Critical,Pending,Negative
TKT-000572,User provisioning,Medium,Resolved,Positive
TKT-000573,User provisioning,Medium,Resolved,Positive
TKT-000574,Dashboard access,Low,Pending,Positive
TKT-000575,Integration timeout,Low,Resolved,Positive
TKT-000576,Export failure,Critical,Pending,Negative
TKT-000577,Dashboard access,Medium,Closed,Neutral
TKT-000578,Incorrect revenue mapping,Low,Resolved,Positive
TKT-000579,Export failure,High,Resolved,Neutral
TKT-000580,Forecast variance,Critical,Closed,Positive
TKT-000581,Dashboard access,Critical,Open,Negative
TKT-000582,Incorrect revenue mapping,Critical,Open,Negative
TKT-000583,Delayed data refresh,Critical,Closed,Positive
TKT-000584,Delayed data refresh,High,Pending,Negative
TKT-000585,Export failure,Medium,Pending,Positive
TKT-000586,Delayed data refresh,Medium,Resolved,Positive
TKT-000587,Export failure,Critical,Closed,Neutral
TKT-000588,Dashboard access,Medium,Pending,Negative
TKT-000589,Inventory mismatch,Medium,Resolved,Positive
TKT-000590,Integration timeout,High,Resolved,Positive
TKT-000591,Export failure,Medium,Closed,Positive
TKT-000592,Dashboard access,High,Open,Negative
TKT-000593,Dashboard access,Medium,Open,Positive
TKT-000594,User provisioning,Critical,Open,Negative
TKT-000595,Delayed data refresh,Medium,Open,Negative
TKT-000596,Incorrect revenue mapping,High,Pending,Positive
TKT-000597,Inventory mismatch,High,Pending,Neutral
TKT-000598,Inventory mismatch,Medium,Open,Negative
TKT-000599,Forecast variance,Medium,Pending,Positive
TKT-000600,Forecast variance,Medium,Pending,Neutral
